Condition,Mean NLL,Std NLL,Mean Delta,Win Rate,t-stat,p-value,Cohen's d
A2_bare_doc,0.9783475253170946,1.4206591565505482,0.26389983284466856,0.64,5.556260382418318,8.769492158164167e-08,0.3928869394446153
E2_full_random_prefix,1.0113163502493905,1.5189474089303605,0.2309310079123727,0.77,6.535255785056615,5.211339108426765e-10,0.4621123682402146
B1_full_generated,1.0497620488329997,1.5893812731994572,0.19248530932876357,0.71,6.878310196015851,7.669798768144416e-11,0.4863699782707379
B4_full_suffix,1.0860727276589317,1.6237834201451513,0.15617463050283148,0.705,5.050601358460082,9.930349090527144e-07,0.35713144696371135
B2_full_perfect,1.151158718604328,1.6279437156318923,0.0910886395574352,0.61,3.2850373810519726,0.0012049239653714738,0.2322872208593146
E1_random_prefix_trunc_corrected,1.1591752090009788,1.2214024871796352,0.08307214916078441,0.425,0.768385307363893,0.4431691923835972,0.054333046140111835
C5_trunc_static_corrected,1.163952570257009,1.129224694914929,0.07829478790475418,0.39,0.7361049014426793,0.46253365560424087,0.05205047674747738
B3_full_static,1.1688746354048734,1.64037640120263,0.07337272275688994,0.5,3.01295153723707,0.002923322337357297,0.2130478463366765
C4_trunc_perfect_corrected,1.2254082851106878,1.2264806107049622,0.016839073051075543,0.4,0.1582575260325559,0.8744143539966153,0.011190496983142685
C2_trunc_generated_corrected,1.2392646176303266,1.217513790949604,0.0029827405314368717,0.37,0.027784241114954884,0.9778620780253071,0.001964642530250668
A1_baseline,1.2422473581617632,1.845348180491432,0.0,0.0,,,0.0
D1_trunc_suffix_corrected,1.2422749044323391,1.8453748947686348,-2.7546270575748093e-05,0.14,-0.41549545530401,0.6782269062581404,-0.029379965399765753
A3_baseline_offset,1.3834971996354295,1.9496452259273804,-0.14124984147366612,0.385,-1.9513861708052656,0.05241467993951972,-0.13798383940900538
C3_trunc_perfect_broken,1.5707615088780431,1.622850881642946,-0.3285141507162798,0.275,-2.651327537696661,0.008663349905836682,-0.18747716810519408
C1_trunc_generated_broken,2.5790025833885095,2.537017074577368,-1.3367552252267465,0.21,-7.491361538828963,2.178437823140539e-12,-0.5297192544426049
